                   0, 000,          x,          x, x,          x, x
               34010, 000, 2647416891,  486945594, 0,  486809658, 0
               35000, 000, 3206754942,  178932501, 0,  486809658, 0
               35010, 000, 3206754942,  178932501, 0,  170000916, 0
               36000, 000, 2027527153, 1822182361, 0,  170000916, 0
               36007, 000, 2027527153, 1822182361, 0,  170000916, 1
               36010, 000, 2027527153, 1822182361, 0, 1754794961, 1
               37000, 000,  824379234,  641071948, 0, 1754794961, 1
               37010, 000,  824379234,  641071948, 0,  539034432, 1
               37011, 000,  824379234,  641071948, 0,  539034432, 0
               38000, 000, 1335973279, 1203347855, 0,  539034432, 0
               38007, 000, 1335973279, 1203347855, 0,  539034432, 1
               38010, 000, 1335973279, 1203347855, 0, 1201734031, 1
               39000, 000, 2087561720, 3687669943, 0, 1201734031, 1
               39010, 000, 2087561720, 3687669943, 0, 1481449648, 1
               39011, 000, 2087561720, 3687669943, 0, 1481449648, 0
               40000, 000, 3485750943, 2927465564, 0, 1481449648, 0
               40010, 000, 3485750943, 2927465564, 0, 2386826268, 0
               40011, 000, 3485750943, 2927465564, 0, 2386826268, 1
               40015, 000, 3485750943, 2927465564, 0, 2386826268, 0
               40019, 000, 3485750943, 2927465564, 0, 2386826268, 1
               41000, 000, 2915811419, 1155413897, 0, 2386826268, 1
               41010, 000, 2915811419, 1155413897, 0,   80347145, 1
               41019, 000, 2915811419, 1155413897, 0,   80347145, 0
               42000, 000, 2762879561, 3894623952, 0,   80347145, 0
               42010, 000, 2762879561, 3894623952, 0, 2686595648, 0
               42011, 000, 2762879561, 3894623952, 0, 2686595648, 1
               42015, 000, 2762879561, 3894623952, 0, 2686595648, 0
               43000, 000, 3959341271, 2831678545, 0, 2686595648, 0
               43010, 000, 3959341271, 2831678545, 0, 2831597649, 0
               44000, 000, 1260466070,  102596364, 0, 2831597649, 0
               44010, 000, 1260466070,  102596364, 0,   33632004, 0
               45000, 000, 3777810114, 1683484104, 0,   33632004, 0
               45010, 000, 3777810114, 1683484104, 0, 1610927296, 0
               45011, 000, 3777810114, 1683484104, 0, 1610927296, 1
               45015, 000, 3777810114, 1683484104, 0, 1610927296, 0
               46000, 000, 3145882231,  519236925, 0, 1610927296, 0
               46010, 000, 3145882231,  519236925, 0,  444745781, 0
               46011, 000, 3145882231,  519236925, 0,  444745781, 1
               46015, 000, 3145882231,  519236925, 0,  444745781, 0
               47000, 000,  151837458, 3204776062, 0,  444745781, 0
               47010, 000,  151837458, 3204776062, 0,  151257106, 0
               48000, 000,  921010541,  484042553, 0,  151257106, 0
               48010, 000,  921010541,  484042553, 0,  348225833, 0
               49000, 000,  265457439, 3924555475, 0,  348225833, 0
               49010, 000,  265457439, 3924555475, 0,  163743251, 0
               49015, 000,  265457439, 3924555475, 0,  163743251, 1
               49023, 000,  265457439, 3924555475, 0,  163743251, 0
               50000, 000, 1121529733, 3155462264, 0,  163743251, 0
               50007, 000, 1121529733, 3155462264, 0,  163743251, 1
               50010, 000, 1121529733, 3155462264, 0,    1050624, 1
               50015, 000, 1121529733, 3155462264, 0,    1050624, 0
               50019, 000, 1121529733, 3155462264, 0,    1050624, 1
               50031, 000, 1121529733, 3155462264, 0,    1050624, 0
               50035, 000, 1121529733, 3155462264, 0,    1050624, 1
               50039, 000, 1121529733, 3155462264, 0,    1050624, 0
               51000, 000,  769284443,  613108553, 0,    1050624, 0
               51010, 000,  769284443,  613108553, 0,  613042505, 0
               52000, 000, 2683481663,  353152810, 0,  613042505, 0
               52010, 000, 2683481663,  353152810, 0,  352366122, 0
               53000, 000,  739599192, 3275700358, 0,  352366122, 0
               53010, 000,  739599192, 3275700358, 0,    1384448, 0
               53011, 000,  739599192, 3275700358, 0,    1384448, 1
               53015, 000,  739599192, 3275700358, 0,    1384448, 0
               53019, 000,  739599192, 3275700358, 0,    1384448, 1
               53023, 000,  739599192, 3275700358, 0,    1384448, 0
               54000, 000, 3340373134, 3459248796, 0,    1384448, 0
               54010, 000, 3340373134, 3459248796, 0, 3322544268, 0
               55000, 000, 2100664826, 2474490918, 0, 3322544268, 0
               55010, 000, 2100664826, 2474490918, 0,  288725026, 0
               55011, 000, 2100664826, 2474490918, 0,  288725026, 1
               55019, 000, 2100664826, 2474490918, 0,  288725026, 0
               56000, 000,  966137715, 3515593891, 0,  288725026, 0
               56007, 000,  966137715, 3515593891, 0,  288725026, 1
               56010, 000,  966137715, 3515593891, 0,  293737507, 1
               56015, 000,  966137715, 3515593891, 0,  293737507, 0
               57000, 000, 2543429679, 3654455987, 0,  293737507, 0
               57010, 000, 2543429679, 3654455987, 0, 2442166307, 0
               57011, 000, 2543429679, 3654455987, 0, 2442166307, 1
               58000, 000, 2950190687,  573115716, 0, 2442166307, 1
               58010, 000, 2950190687,  573115716, 0,  570950724, 1
               58011, 000, 2950190687,  573115716, 0,  570950724, 0
               59000, 000, 2079915511, 3852154571, 0,  570950724, 0
               59007, 000, 2079915511, 3852154571, 0,  570950724, 1
               59010, 000, 2079915511, 3852154571, 0, 1637364931, 1
               59011, 000, 2079915511, 3852154571, 0, 1637364931, 0
               60000, 000, 4077460198,  757652314, 0, 1637364931, 0
               60010, 000, 4077460198,  757652314, 0,  554179138, 0
               61000, 000,  349159721, 4135772909, 0,  554179138, 0
               61010, 000,  349159721, 4135772909, 0,  344113193, 0
               61011, 000,  349159721, 4135772909, 0,  344113193, 1
               61015, 000,  349159721, 4135772909, 0,  344113193, 0
               62000, 000, 3981667546, 2996811365, 0,  344113193, 0
               62010, 000, 3981667546, 2996811365, 0, 2685609024, 0
               63000, 000, 3666535093, 4022244575, 0, 2685609024, 0
               63010, 000, 3666535093, 4022244575, 0, 3398074517, 0
               64000, 000, 1022433657,  573701956, 0, 3398074517, 0
               64010, 000, 1022433657,  573701956, 0,  540088640, 0
               65000, 000, 3899919568,  352914218, 0,  540088640, 0
               65007, 000, 3899919568,  352914218, 0,  540088640, 1
               65010, 000, 3899919568,  352914218, 0,       2048, 1
               65011, 000, 3899919568,  352914218, 0,       2048, 0
               65015, 000, 3899919568,  352914218, 0,       2048, 1
               65019, 000, 3899919568,  352914218, 0,       2048, 0
               66000, 000, 1442229675,  124768014, 0,       2048, 0
               66010, 000, 1442229675,  124768014, 0,   90606858, 0
               67000, 000, 1851633116, 3445537946, 0,   90606858, 0
               67010, 000, 1851633116, 3445537946, 0, 1281141912, 0
               67011, 000, 1851633116, 3445537946, 0, 1281141912, 1
               67015, 000, 1851633116, 3445537946, 0, 1281141912, 0
               68000, 000, 4276056829, 3790668483, 0, 1281141912, 0
               68010, 000, 4276056829, 3790668483, 0, 3771794113, 0
               69000, 000,  722398550,  662301006, 0, 3771794113, 0
               69010, 000,  722398550,  662301006, 0,  587786566, 0
               70000, 000, 3017373287, 2234594314, 0,  587786566, 0
               70010, 000, 3017373287, 2234594314, 0, 2165388290, 0
               70011, 000, 3017373287, 2234594314, 0, 2165388290, 1
               71000, 000, 1534048694, 2618198584, 0, 2165388290, 1
               71007, 000, 1534048694, 2618198584, 0, 2165388290, 0
               71010, 000, 1534048694, 2618198584, 0,  403605552, 0
               72000, 000, 1020364665, 3693855928, 0,  403605552, 0
               72010, 000, 1020364665, 3693855928, 0,  469861432, 0
               72011, 000, 1020364665, 3693855928, 0,  469861432, 1
               72015, 000, 1020364665, 3693855928, 0,  469861432, 0
               73000, 000, 1249165204, 1237736851, 0,  469861432, 0
               73010, 000, 1249165204, 1237736851, 0, 1212423568, 0
               73011, 000, 1249165204, 1237736851, 0, 1212423568, 1
               74000, 000, 2185178116, 2897726041, 0, 1212423568, 1
               74010, 000, 2185178116, 2897726041, 0, 2151090176, 1
               75000, 000, 1842047451, 2801589837, 0, 2151090176, 1
               75007, 000, 1842047451, 2801589837, 0, 2151090176, 0
               75010, 000, 1842047451, 2801589837, 0,  617105481, 0
               75011, 000, 1842047451, 2801589837, 0,  617105481, 1
               75015, 000, 1842047451, 2801589837, 0,  617105481, 0
               76000, 000, 1823520729, 3064211053, 0,  617105481, 0
               76010, 000, 1823520729, 3064211053, 0,  614475337, 0
               77000, 000, 3141919350, 1698384330, 0,  614475337, 0
               77007, 000, 3141919350, 1698384330, 0,  614475337, 1
               77010, 000, 3141919350, 1698384330, 0,  553730114, 1
               77015, 000, 3141919350, 1698384330, 0,  553730114, 0
               78000, 000, 1528245686, 1251176853, 0,  553730114, 0
               78007, 000, 1528245686, 1251176853, 0,  553730114, 1
               78010, 000, 1528245686, 1251176853, 0, 1242767764, 1
